latitude,longitude
-10.7587,-69.8348
-10.7545,-69.8312
-10.7610,-69.8231
-10.7646,-69.8143
-10.7728,-69.8058
-10.7736,-69.8001
-10.7711,-69.7914
-10.7729,-69.7815
-10.7662,-69.7628
-10.7599,-69.7618
-10.7520,-69.7665
-10.7449,-69.7661
-10.7418,-69.7640
-10.7450,-69.7477
-10.7409,-69.7405
-10.7359,-69.7366
-10.7395,-69.7308
-10.7362,-69.7228
-10.7380,-69.7132
-10.7365,-69.6947
-10.7320,-69.6753
-10.7222,-69.6745
-10.7187,-69.6778
-10.7154,-69.6778
-10.7129,-69.6703
-10.7111,-69.6549
-10.7050,-69.6549
-10.6891,-69.6476
-10.6799,-69.6342
-10.6696,-69.6294
-10.6520,-69.6112
-10.6516,-69.5950
-10.6496,-69.5906
-10.6427,-69.5870
-10.6403,-69.5802
-10.6392,-69.5752
-10.6412,-69.5682
-10.6397,-69.5624
-10.6253,-69.5481
-10.6204,-69.5345
-10.6109,-69.5384
-10.5961,-69.5348
-10.5857,-69.5361
-10.5747,-69.5340
-10.5670,-69.5345
-10.5663,-69.5298
-10.5535,-69.5074
-10.5346,-69.4984
-10.5230,-69.4898
-10.5118,-69.4876
-10.5018,-69.4813
-10.4929,-69.4803
-10.4887,-69.4601
-10.4947,-69.4456
-10.4947,-69.4269
-10.4887,-69.4170
-10.4929,-69.4062
-10.4905,-69.4031
-10.4898,-69.3956
-10.4851,-69.3945
-10.4828,-69.3914
-10.4805,-69.3793
-10.4763,-69.3730
-10.4779,-69.3453
-10.4638,-69.3338
-10.4550,-69.3375
-10.4486,-69.3361
-10.4337,-69.3363
-10.4308,-69.3340
-10.4267,-69.3261
-10.4162,-69.3253
-10.4151,-69.3223
-10.4088,-69.3187
-10.4103,-69.3087
-10.4071,-69.2945
-10.3899,-69.2840
-10.3881,-69.2789
-10.3887,-69.2720
-10.3850,-69.2657
-10.3622,-69.2544
-10.3567,-69.2441
-10.3419,-69.2290
-10.3386,-69.2171
-10.3318,-69.2106
-10.3278,-69.2034
-10.3194,-69.1974
-10.3121,-69.1869
-10.3029,-69.1887
-10.2978,-69.1833
-10.2970,-69.1771
-10.2995,-69.1703
-10.2907,-69.1691
-10.2826,-69.1640
-10.2804,-69.1495
-10.2885,-69.1430
-10.2892,-69.1379
-10.2757,-69.1263
-10.2736,-69.1195
-10.2762,-69.1128
-10.2737,-69.1099
-10.2654,-69.1061
-10.2619,-69.1020
-10.2608,-69.0979
-10.2637,-69.0903
-10.2583,-69.0869
